State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Iowa,Adair,41.49811,-94.6436,Super 8 Adair IA,2.0,"<p>HeadLine : Near Adair City Park</p><p>Location : With a stay at Super 8 by Wyndham Adair IA in Adair, you ll be a 3-minute walk from Adair City Park and 7 minutes by foot from Smiley Face Water Tower.  This hotel is 16.5 mi (26.5 km) from Sheeder Prairie State Preserve and 20.9 mi (33.6 km) from Nishna Hills Golf Club.</p><p>Rooms : Make yourself at home in one of the 33 air-conditioned rooms featuring refrigerators and microwaves. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms feature shower/tub combinations, complimentary toiletries, and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is served daily from 6 AM to 10 AM.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",Luggage storage Coffee/tea in common areas 24-hour front desk Business center Free breakfast Laundry facilities Television in common areas One meeting room Free self parking Free WiFi Computer station Smoke-free property RV  bus  truck parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Adair City Park - 0.2 km / 0.1 mi <br /> Smiley Face Water Tower - 0.5 km / 0.3 mi <br /> Sheeder Prairie State Preserve - 26.5 km / 16.5 mi <br /> Nishna Hills Golf Club - 33.6 km / 20.9 mi <br /> Atlantic City Park - 34.6 km / 21.5 mi <br /> Sunnyside Park - 36 km / 22.4 mi <br /> Iowa Aviation Museum - 36.6 km / 22.8 mi <br /> Adair County Courthouse - 38.4 km / 23.8 mi <br /> Warren Cultural Center - 38.6 km / 24 mi <br /> Pellet Memorial Woods State Preserve - 40.8 km / 25.4 mi <br /> Danish Windmill - 45.4 km / 28.2 mi <br /> Springbrook State Park - 46.1 km / 28.6 mi <br /> Danish Immigrant Museum - 46.3 km / 28.8 mi <br /> </p><p>The preferred airport for Super 8 by Wyndham Adair IA is Des Moines  IA (DSM-Des Moines Intl.) - 97.9 km / 60.8 mi </p>,111 S 5th St AdairIowa 50002 ,50002,6417425251,https://www.wyndhamhotels.com/super-8/adair-iowa/super-8-adair-ia/overview
Iowa,Adair,41.49493,-94.64346,Budget Inn Adair,2.0,"Offering free Wi-Fi, this motel is 10 minutes drive from Lake Anita State Park. All rooms are equipped with a flat-screen TV with pay-per-view channels. A free continental breakfast is served daily.

Each room includes air-conditioning, a microwave and a small refrigerator at Budget Inn Adair. An en suite bathroom is also featured.

A 24-hour reception assists guests at Adair Budget Inn. Free parking is provided on site.

Iowa Aviation Museum is 25 minutes drive from the motel. Iowa State University is 147 km from Budget Inn Adair. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Parking Pets allowed 24-hour front desk Non-smoking rooms Free parking internet services Heating wifi Free WiFi Air conditioning designated smoking area parking on site wifi available in all areas,,100 5Th Street AdairIowa 50002 ,50002,6417425553,https://www.booking.com/hotel/us/budget-inn-adair.html
Iowa,Algona,43.082813,-94.2443,AmericInn Algona,3.0,"<p>HeadLine : Near Algona Area Chamber of Commerce</p><p>Location : Located in Algona, AmericInn by Wyndham Algona is in a rural location, within a 5-minute drive of Algona Area Chamber of Commerce and Camp Algona POW Museum.  This hotel is 2.4 mi (3.9 km) from Ambrose A Call State Park and 18.4 mi (29.6 km) from Prairie Creek Healthcare.</p><p>Rooms : Make yourself at home in one of the 59 air-conditioned rooms featuring refrigerators and microwaves. Flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Bathrooms have bathtubs or showers and complimentary toiletries. Conveniences include desks and coffee/tea makers, as well as phones with free local calls.</p><p>Dining : Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily from 6:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Wheelchair accessible (may have limitations) Vending machine Free breakfast Visual alarms in hallways Handrails in stairways 24-hour front desk Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 Number of spa tubs - 1 Daily Braille or raised signage Assistive listening devices available Number of indoor pools - 1 In-room accessibility (in select rooms) Free use of nearby fitness center Laundry facilities Free newspapers in lobby Accessible bathroom (in select rooms) Free self parking Free continental breakfast,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Algona Area Chamber of Commerce - 2.5 km / 1.6 mi <br /> Camp Algona POW Museum - 2.6 km / 1.6 mi <br /> Ambrose A Call State Park - 4.2 km / 2.6 mi <br /> Prairie Creek Healthcare - 29.6 km / 18.4 mi <br /> Shrine of the Grotto of the Redemption - 29.6 km / 18.4 mi <br /> National Hobo Museum - 36.7 km / 22.8 mi <br /> Palo Alto County Health System - 40.1 km / 24.9 mi <br /> Humboldt County Memorial Hospital - 40.8 km / 25.3 mi <br /> Eagle Lake State Park - 43.2 km / 26.8 mi <br /> Frank Gotch State Park - 49.1 km / 30.5 mi <br /> Crystal Lake State Park - 51.1 km / 31.7 mi <br /> </p><p>The preferred airport for AmericInn by Wyndham Algona is Fort Dodge  IA (FOD-Fort Dodge Regional) - 64.6 km / 40.1 mi </p>,600 Highway 18 W AlgonaIowa 50511 ,50511,5152953333,http://www.americinn.com/hotels/ia/algona
Iowa,Algona,43.07831,-94.23469,Super 8 By Wyndham Algona,2.0,"<p>HeadLine : Near Algona Area Chamber of Commerce</p><p>Location : Located in Algona, Super 8 by Wyndham Algona is within a 5-minute drive of Algona Area Chamber of Commerce and Camp Algona POW Museum.  This motel is 1.8 mi (2.9 km) from Ambrose A Call State Park and 19.1 mi (30.8 km) from Prairie Creek Healthcare.</p><p>Rooms : Make yourself at home in one of the 30 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : A complimentary on-the-go breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Dry cleaning/laundry service Wheelchair accessible (may have limitations) Free breakfast to go Vending machine Free breakfast Meeting rooms 24-hour front desk Wheelchair-accessible registration desk Free WiFi Designated smoking areas Daily In-room accessibility (in select rooms) Laundry facilities Accessible bathroom (in select rooms) RV  bus  truck parking Free self parking Wheelchair accessible path of travel,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Camp Algona POW Museum - 1.5 km / 0.9 mi <br /> Algona Area Chamber of Commerce - 1.5 km / 1 mi <br /> Ambrose A Call State Park - 3.1 km / 1.9 mi <br /> Prairie Creek Healthcare - 30.8 km / 19.1 mi <br /> Shrine of the Grotto of the Redemption - 30.8 km / 19.2 mi <br /> National Hobo Museum - 37 km / 23 mi <br /> Humboldt County Memorial Hospital - 39.7 km / 24.7 mi <br /> Palo Alto County Health System - 41.3 km / 25.7 mi <br /> Eagle Lake State Park - 43.1 km / 26.8 mi <br /> Frank Gotch State Park - 48.1 km / 29.9 mi <br /> Crystal Lake State Park - 51 km / 31.7 mi <br /> </p><p>The preferred airport for Super 8 by Wyndham Algona is Fort Dodge  IA (FOD-Fort Dodge Regional) - 63.5 km / 39.5 mi </p>,210 E Norwood Dr Highway 169Algona 50511-1134Iowa ,50511,5152957225,http://www.super8.com/hotels/iowa/algona/super-8-algona/hotel-overview
Iowa,Algona,43.03933,-94.22819,Burr Oak Motel,2.0,"Burr Oak Motel is a 2-star property located in Algona. With free WiFi, this 2-star motel offers room service and a 24-hour front desk. The motel features family rooms.

The nearest airport is Fort Dodge Regional Airport, 59 km from the motel. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Parking Pets allowed Room service 24-hour front desk Non-smoking rooms Family rooms Free parking internet services Heating Fax/photocopying wifi Free WiFi Air conditioning vending machine (drinks) Daily housekeeping parking on site Private parking electric vehicle charging station Accessible parking Outdoor furniture Picnic area 24-hour security Key card access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers,,1903 Highway 169 South AlgonaIowa 50511 ,50511,5152957213,https://www.booking.com/hotel/us/burr-oak-motel.html
Iowa,Algona,43.082785,-94.214242,Brookstone Lodge & Suites,2.0,"<p>HeadLine : Near Algona Area Chamber of Commerce</p><p>Location : With a stay at Brookstone Lodge & Suites in Algona, you ll be within a 5-minute drive of Algona Area Chamber of Commerce and Camp Algona POW Museum.  This hotel is 2.9 mi (4.7 km) from Ambrose A Call State Park and 19.9 mi (32 km) from Prairie Creek Healthcare.</p><p>Rooms : Make yourself at home in one of the 41 air-conditioned rooms featuring refrigerators and microwaves. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",Wheelchair accessible (may have limitations) Business center 24-hour front desk Wheelchair-accessible registration desk Free WiFi Upper floors accessible by stairs only Smoke-free property In-room accessibility (in select rooms) Free use of nearby fitness center Wheelchair accessible parking Laundry facilities Free self parking Computer station,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Algona Area Chamber of Commerce - 3 km / 1.9 mi <br /> Camp Algona POW Museum - 3.2 km / 2 mi <br /> Ambrose A Call State Park - 4.7 km / 2.9 mi <br /> Prairie Creek Healthcare - 32 km / 19.9 mi <br /> Shrine of the Grotto of the Redemption - 32 km / 19.9 mi <br /> National Hobo Museum - 34.7 km / 21.6 mi <br /> Humboldt County Memorial Hospital - 40.2 km / 25 mi <br /> Eagle Lake State Park - 40.7 km / 25.3 mi <br /> Palo Alto County Health System - 42.5 km / 26.4 mi <br /> Frank Gotch State Park - 48.6 km / 30.2 mi <br /> Crystal Lake State Park - 48.6 km / 30.2 mi <br /> </p><p>The preferred airport for Brookstone Lodge & Suites is Mason City  IA (MCW-Mason City Municipal) - 73 km / 45.4 mi </p>,1909 Highway 18 East AlgonaIA 50511 ,50511,5152000030,http://brookstonelodgeandsuites.com/
Iowa,Altoona,41.65864,-93.49443,Quality Inn & Suites Altoona Des Moines,2.0,"<p>HeadLine : Near Adventureland</p><p>Location : With a stay at Quality Inn & Suites Altoona - Des Moines, you ll be centrally located in Altoona, a 2-minute drive from Adventureland and 11 minutes from Iowa State Fairgrounds.  This hotel is 9.4 mi (15.1 km) from Wells Fargo Arena and 10.8 mi (17.4 km) from Drake University.</p><p>Rooms : Make yourself at home in one of the 47 guestrooms featuring refrigerators and microwaves. Flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Bathrooms have designer toiletries and hair dryers. Conveniences include desks and complimentary newspapers, as well as phones with free local calls.</p><p>Dining : A complimentary on-the-go breakfast is served daily from 6:30 AM to 11:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a smoke detector</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Wheelchair accessible (may have limitations) Free RV  bus  truck parking Free breakfast to go Free breakfast Business center 24-hour front desk Free WiFi Daily Braille or raised signage Number of indoor pools - 1 Smoke-free property In-room accessibility (in select rooms) Wheelchair accessible parking Laundry facilities Free newspapers in lobby Accessible bathroom (in select rooms) Free self parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Prairie Meadows Racetrack and Casino - 0.9 km / 0.6 mi <br /> Outlets of Des Moines - 1.8 km / 1.1 mi <br /> Adventureland - 0.8 km / 0.5 mi <br /> Grand View Golf Course - 7.3 km / 4.6 mi <br /> Iowa State Fairgrounds - 9.6 km / 6 mi <br /> Sky Glider East - 9.7 km / 6 mi <br /> Sleepy Hollow Sports Park - 10 km / 6.2 mi <br /> Copper Creek Golf Course - 10.9 km / 6.8 mi <br /> UnityPoint Health - Iowa Lutheran Hospital - 12.9 km / 8 mi <br /> Iowa State Capitol Building - 13.1 km / 8.2 mi <br /> State Historical Society of Iowa Museum - 13.4 km / 8.3 mi <br /> Simon Estes Riverfront Amphitheater - 13.5 km / 8.4 mi <br /> Iowa Women of Achievement Bridge - 13.5 km / 8.4 mi <br /> World Food Prize Hall of Laureates - 13.6 km / 8.5 mi <br /> Walnut Street Bridge - 13.7 km / 8.5 mi <br /> </p><p>The preferred airport for Quality Inn & Suites Altoona - Des Moines is Des Moines International Airport (DSM) - 32.3 km / 20.1 mi </p>,2701 Adventureland Drive AltoonaIowa 50009 ,50009,5159674886,http://www.qualityinn.com/hotel-altoona-iowa-IA202
Iowa,Altoona,41.658547,-93.495464,Adventureland Inn,2.0,"<p>HeadLine : Near Adventureland</p><p>Location : With a stay at Adventureland Inn in Altoona, you ll be within a 15-minute drive of Adventureland and Iowa State Fairgrounds.  This family-friendly hotel is 9.3 mi (15 km) from Wells Fargo Arena and 10.7 mi (17.3 km) from Drake University.</p><p>Rooms : Make yourself at home in one of the 185 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have shower/tub combinations and complimentary toiletries. Conveniences include safes and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Relax with your favorite drink at the bar/lounge or the swim-up bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Wheelchair accessible (may have limitations) Grocery/convenience store Number of meeting rooms - 1 24-hour front desk Free WiFi Playground on site Number of bars/lounges - 1 Arcade/game room Number of spa tubs - 2 Number of indoor pools - 2 Number of swim-up bars - 1 Smoke-free property In-room accessibility (in select rooms) Children's pool Accessible bathroom (in select rooms) elevator Free self parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Prairie Meadows Racetrack and Casino - 0.9 km / 0.5 mi <br /> Outlets of Des Moines - 1.7 km / 1.1 mi <br /> Adventureland - 0.7 km / 0.4 mi <br /> Grand View Golf Course - 7.2 km / 4.5 mi <br /> Iowa State Fairgrounds - 9.5 km / 5.9 mi <br /> Sky Glider East - 9.6 km / 6 mi <br /> Sleepy Hollow Sports Park - 9.9 km / 6.1 mi <br /> Copper Creek Golf Course - 10.8 km / 6.7 mi <br /> UnityPoint Health - Iowa Lutheran Hospital - 12.8 km / 8 mi <br /> Iowa State Capitol Building - 13 km / 8.1 mi <br /> State Historical Society of Iowa Museum - 13.3 km / 8.3 mi <br /> Toad Valley Golf Course - 13.7 km / 8.5 mi <br /> Margo Frankel Woods State Park - 13.8 km / 8.6 mi <br /> Des Moines Civic Center - 13.8 km / 8.6 mi <br /> Greater Des Moines Botanical Garden - 13.9 km / 8.7 mi <br /> </p><p>The preferred airport for Adventureland Inn is Des Moines International Airport (DSM) - 32.2 km / 20 mi </p>,3200 Adventureland Drive Highway 1-80Exit 142AAltoona ,50009,5152657321,http://www.adventureland-inn.com
Iowa,Altoona,41.654413,-93.493266,Prairie Meadows Casino Racetrack And Hotel,3.0,"<p>HeadLine : Near Adventureland</p><p>Location : Located in Altoona, Prairie Meadows Casino, Racetrack & Hotel is within a 15-minute drive of Adventureland and Iowa State Fairgrounds.  This casino hotel is 9.7 mi (15.6 km) from Wells Fargo Arena and 11.1 mi (17.9 km) from Drake University.</p><p>Rooms : Make yourself at home in one of the 168 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Bathrooms have showers and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : For lunch or dinner, stop by AJs Steakhouse, a restaurant that specializes in American cuisine. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Need to unwind? Take a break with a tasty beverage at one of the 4 bars/lounges. Cooked-to-order breakfasts are served on weekdays from 7 AM to 10:30 AM and on weekends from 7 AM to 1 PM for a fee.</p><p>Renovations : The property will be renovating from October 1 2022 to July 31 2023 (completion date subject to change). The following areas are affected:  <ul><li>Select guestrooms</li></ul> During renovations, the hotel will make every effort to minimize noise and disturbance.  The following facilities are closed on Monday and Tuesday: <ul><li>Dining venue(s)</li></ul></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : If you are planning to arrive after noon please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",Gift shops or newsstand Banquet hall Wheelchair accessible (may have limitations) Free RV  bus  truck parking Newspapers in lobby (surcharge) Sportsbook Number of slot machines - 1700 Wheelchair-accessible van parking Meeting rooms Number of VIP gaming rooms - 1 Conference space size (meters) - 3159 Number of gaming tables - 21 Wheelchair-accessible registration desk Free WiFi Casino floor size square feet - 85000 Number of bars/lounges - 4 Designated smoking areas Braille or raised signage Assistive listening devices available Number of indoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Fireplace in lobby Casino floor size square meters - 7897 Luggage storage Business center 24-hour front desk Conference center Concerts/live shows Breakfast available (surcharge) Safe-deposit box at front desk Snack bar/deli Number of coffee shops/cafes - 1 Casino elevator Free self parking Fitness facilities Conference space ATM/banking Wheelchair accessible path of travel Conference space size (feet) - 34000 24-hour business center,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Prairie Meadows Racetrack and Casino - 0.4 km / 0.2 mi <br /> Outlets of Des Moines - 2.3 km / 1.5 mi <br /> Adventureland - 1.3 km / 0.8 mi <br /> Grand View Golf Course - 7.9 km / 4.9 mi <br /> Sky Glider East - 10.8 km / 6.7 mi <br /> Iowa State Fairgrounds - 11.4 km / 7.1 mi <br /> Copper Creek Golf Course - 11.4 km / 7.1 mi <br /> Sleepy Hollow Sports Park - 12.7 km / 7.9 mi <br /> State Historical Society of Iowa Museum - 13.3 km / 8.3 mi <br /> Iowa State Capitol Building - 13.7 km / 8.5 mi <br /> Simon Estes Riverfront Amphitheater - 14 km / 8.7 mi <br /> Iowa Women of Achievement Bridge - 14.1 km / 8.7 mi <br /> World Food Prize Hall of Laureates - 14.2 km / 8.8 mi <br /> Walnut Street Bridge - 14.2 km / 8.8 mi <br /> Toad Valley Golf Course - 14.3 km / 8.9 mi <br /> </p><p>The preferred airport for Prairie Meadows Casino  Racetrack & Hotel is Des Moines International Airport (DSM) - 22.1 km / 13.8 mi </p>,1 Prairie Meadows Drive AltoonaIowa 50009 ,50009,5159573000,http://www.prairiemeadows.com/hotel/
Iowa,Altoona,41.67515,-93.51485,Victorias Vineyard B&B,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Wheelchair-accessible NO Garage NO Disability-friendly bathroom NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Car park NO Smoking rooms NO Connecting rooms,,Ne 62Nd Avenue 5096 5096 50009 Altoona AltoonaIowa 50009 ,50009,5159671980,http://www.victoriasvineyardbnb.com
