State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Tennessee,Alcoa,35.76532,-83.97059,Executive Lodge,3.0,"""This Alcoa", Tennessee Executive Lodge is 12.8 km from Interstate 140 Exit 11 and 6 minutes drive from McGhee Tyson Airport.,,,,,
Tennessee,Alcoa,35.81032,-83.98241,"""Tru By Hilton Alcoa Knoxville Airport"," Tn""",2.0,"""Featuring 2-star accommodation", Tru By Hilton Alcoa Knoxville Airport, Tn is located in Alcoa, 19 km from University of Tennessee and 19 km from Frank H McClung Museum. The property is set 19 km from University of Tennessee Neyland Stadium, 19 km from Knoxville Convention Center and 20 km from East Tennessee History Center. The hotel features a fitness centre, a 24-hour front desk and free WiFi.
Tennessee,Antioch,36.06547,-86.63057,InTown Suites Nashville Southeast,5.0,"""Situated 13 km from Lane Motor Museum", InTown Suites Extended Stay Nashville TN - Murfreesboro Pike features rooms with air conditioning in Antioch. The property is located 18 km from Johnny Cash Museum, 18 km from Bridgestone Arena and 18 km from Nissan Stadium. Vanderbilt University is 21 km away and Grand Ole Opry is 21 km from the hotel.,,,,
Tennessee,Ardmore,34.97103,-86.88233,Budget Inn Ardmore,2.0,"""Budget Inn Elkmont is situated in Elkmont", 38 km from Huntsville and 42 km from Decatur.,,,,,
Tennessee,Athens,35.46417,-84.64434,Scottish Inns Athens,2.0,"""Located in Athens", Tennessee, just 1.5 miles from Strikers Winery. Free Wi-Fi is included in all guest rooms.,,,,
Tennessee,Bolivar,35.25672,-89.00077,Travelers Inn,3.0,"""Set in Bolivar", 47 km from Rustys TV and Movie Car Museum, Rodeway Inn offers accommodation with free WiFi and free private parking. This 3-star hotel offers a 24-hour front desk.,,,,
Tennessee,Bristol,36.55703,-82.21117,Speedway Inn,2.0,"""Featuring free Wi-Fi and guest rooms with microwaves and small refrigerators", this property is located 5 minutes drive from Bristol Motor Speedway. South Holston Lake is 20 minutes drive away.,,,,,
Tennessee,Camden,36.30674,-88.2995,Super 8 Paris,2.0,"""Located in Paris", Tennessee, Super 8 by Wyndham Paris is under new management and newly renovated.,,,,
Tennessee,Camden,36.30578,-88.30111,Paris Inn & Suites,2.0,"""Situated in Paris", Tennessee, this hotel features an outdoor swimming pool. Free WiFi access is available.,,,,
Tennessee,Camden,36.2786,-88.30295,"""Hampton Inn Paris"," Tn""",2.0,"""Hampton Inn Paris", Tn is a 2-star property located in Paris. Featuring a seasonal outdoor swimming pool, the 2-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is non-smoking and is set 39 km from Murray State University.,,
Tennessee,Caryville,43.09619,-75.62494,Creekside Inn,5.0,"""Set in Oneida", Creekside Inn offers free WiFi, and guests can enjoy a restaurant, a bar and a shared lounge.,,,
Tennessee,Caryville,36.301692963,-84.22051239,Budget Host Inn,2.0,,,,115 Woods Circle CaryvilleTennessee 37714 ,37714,4235629595,http://www.budgethost.com/hotels/Budget_Host_Inn_Caryville_TN.aspx
Tennessee,Caryville,36.229682922,-84.157844543,Scottish Inn Lake City,2.0,,,,530 North Main Street Lake CityTN 37769 ,37769,8654262336,
