State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Connecticut,Berlin,41.63115,-72.73777,Twin Spruce Motel,2.0,"""Set in Berlin", 7 km from Silver Lake State Access Area, Twin Spruce Motel offers accommodation with free WiFi and free private parking.,,,,
Connecticut,Berlin,41.62763,-72.73907,Relax Inn,2.0,"""Located in Berlin", 7 km from Silver Lake State Access Area, Relax Inn provides accommodation with free WiFi and free private parking.,,,,
Connecticut,Clinton,41.27633,-72.51214,Clinton Motel,2.0,"""Set in Clinton", within 1.5 km of Clinton Town Beach and 30 km of Goodspeed Opera House, Clinton Motel offers accommodation with barbecue facilities and free WiFi throughout the property as well as free private parking for guests who drive. The property is situated 31 km from Thimble Islands, 38 km from City Hall and 38 km from Wesleyan University. Yale University is 39 km from the motel and The Yale Bowl is 41 km away.,,,
Connecticut,,41.81768,-73.37113,The Amselhaus,4.0,"""A large historic property facing the Housatonic River. It was originally the hub of the town. A stagecoach stop for travelers in the 1830s this property has spacious rooms", hardwood floors, super comfortable beds and a large lawn area. The Amselhaus is located in Cornwall Bridge, Connecticut. Free WiFi access is available.,,,
Connecticut,Danbury,41.58074,-73.41094,Homestead Inn,4.0,"""Homestead Inn is situated in New Milford", 8 km from Emmanuel Williamson Park and 8 km from Institute for American Indian Studies.,,,,,
Connecticut,Dayville,41.83834,-71.87189,Budget Inn Dayville,2.0,"""Budget Inn provides air-conditioned rooms in Dayville. All rooms feature a flat-screen TV with cable channels and a private bathroom. Free WiFi and a 24-hour front desk are provided.",,,,,,
Connecticut,Glastonbury,41.70922,-72.60834,Connecticut River Valley Inn,4.0,"""Offering free Wi-Fi", this property is located in Glastonbury just 12.2 km from Hartford city centre. A gas fireplace is featured in each spacious room.,,,,,
Connecticut,Greenwich,40.9978,-73.65839,Quaint Duplex,5.0,"""Featuring a patio with garden views", a garden and barbecue facilities, Quaint 3-Bedroom Duplex can be found in Greenwich, close to The Capitol Theatre and 5 km from Greenwich Avenue. The Greenwich Avenue Center Shopping Center and the Bush Holley House Museum are within 5 km and 8 km of the apartment, and free WiFi is provided.,,
Connecticut,Groton,41.37043,-72.05725,Windsor Motel,2.0,"""Offering free WiFi access", Windsor Motel is located just a 1-minute drive off Interstate 95 in Groton. The property has a 24-hour front desk.,,,,,
Connecticut,Groton,41.34219,-72.05968,Hilltop Express Inn,2.0,"""This hotel in Groton", Connecticut serves a daily continental breakfast and offers  guestrooms with free WiFi and a cable TV. Trumbull Golf Course is 850 metres away.,,,,,
