State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Vermont,Arlington,43.11499,-73.12309,The Ira Allen House,3.0,"<p><b>Property Location</b> <br />Located in Arlington, The Ira Allen House is on a river, within a 5-minute drive of Mount Equinox and Norman Rockwell Exhibition.  This bed & breakfast is 4.7 mi (7.5 km) from Equinox Preservation Trust and 4.8 mi (7.8 km) from Hildene.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 4 air-conditioned rooms featuring DVD players. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include in-room massages, housekeeping is provided daily, and irons/ironing boards can be requested.</p><p><b>Amenities</b> <br />Enjoy recreation amenities such as a lazy river or take in the view from a garden. Additional amenities at this bed & breakfast include complimentary wireless Internet access, a fireplace in the lobby, and a picnic area.</p><p><b>Dining</b> <br />Wrap up your day with a drink at the bar/lounge. A complimentary full breakfast is served daily from 8 AM to 9 AM.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",Bar/lounge Coffee/tea in common areas Fireplace in lobby Free WiFi Free breakfast Free self parking Garden Lazy river Number of buildings/towers - 1 Number of floors - 3 Picnic area Smoke-free property Total number of rooms - 4 Year Built - 1779,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Mount Equinox - 0.8 km / 0.5 mi <br /> Norman Rockwell Exhibition - 4 km / 2.5 mi <br /> Equinox Preservation Trust - 7.5 km / 4.7 mi <br /> Hildene - 7.8 km / 4.8 mi <br /> American Museum of Fly Fishing - 8.2 km / 5.1 mi <br /> Orvis Fly Fishing - 8.3 km / 5.1 mi <br /> Southern Vermont Arts Center - 8.8 km / 5.5 mi <br /> Manchester Designer Outlets - 9.5 km / 5.9 mi <br /> Gander Gallery - 10.5 km / 6.6 mi <br /> Dana L. Thompson Memorial Park - 11.1 km / 6.9 mi <br /> Arlington Green Covered Bridge - 12.2 km / 7.6 mi <br /> Lake Shaftsbury State Park - 12.2 km / 7.6 mi <br /> Lye Brook Falls - 15.7 km / 9.7 mi <br /> Shaftsbury Historical Society Museum - 17.1 km / 10.6 mi <br /> Dorset Playhouse - 19 km / 11.8 mi <br /> </p><p>The nearest airports are:<br />Rutland  VT (RUT-Rutland Southern Vermont Regional) - 57 km / 35.4 mi<br /> Glens Falls  NY (GFL-Floyd Bennett Memorial) - 73.5 km / 45.7 mi<br /> Albany  NY (ALB-Albany Intl.) - 90.6 km / 56.3 mi<br /> </p><p>The preferred airport for The Ira Allen House is Albany  NY (ALB-Albany Intl.). </p>,6311 Route 7A SunderlandVermont 05250 ,05250,8023622284,http://www.iraallenhouse.com
Vermont,Arlington,43.07489,-73.16733,Arlington's West Mountain Inn,3.0,"<p>HeadLine : Near Saint James Cemetery</p><p>Location : With a stay at Arlington s West Mountain Inn in Arlington, you ll be on a river, just steps from Battenkill River and a 2-minute drive from Saint James Cemetery.  This bed & breakfast is 30.6 mi (49.3 km) from Stratton Mountain Resort and 1.7 mi (2.7 km) from Norman Rockwell Exhibition.</p><p>Rooms : Make yourself at home in one of the 17 air-conditioned rooms featuring iPod docking stations. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Enjoy a satisfying meal at Remember Baker Bistro serving guests of Arlington s West Mountain Inn. Wrap up your day with a drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily from 8:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:30 AM - 9:30 PM. Front desk staff will greet guests on arrival.</p>",Conference space size (meters) - 260 Free WiFi Downhill skiing nearby Number of bars/lounges - 1 Cross-country skiing nearby Bicycle rentals nearby Wheelchair accessible parking Snowboarding Nearby Roll-in shower (in select rooms) Internet access - wireless Tours/ticket assistance Accessible bathroom (in select rooms) Sledding on site Fireplace in lobby Snow Tubing Nearby Free Cooked-to-Order Breakfast Free breakfast Snowmobiling Nearby Ski equipment rental shops nearby Ski lessons available nearby Daily Coffee/tea in common areas Snowshoeing on site Uncovered parking Banquet hall Wheelchair accessible (may have limitations) Reception hall Wheelchair-accessible registration desk Concierge services Television in common areas Hiking/biking trails on site Upper floors accessible by stairs only Garden Stair-free path to entrance Wedding services Fishing on site Luggage storage Front desk (limited hours) Library Golfing nearby Smoke-free property Rowing or canoeing on site Free self parking Conference space Kayaking on site Mountain biking on site Conference space size (feet) - 2800,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Battenkill River - 0.1 km / 0.1 mi <br /> Saint James Cemetery - 1.3 km / 0.8 mi <br /> Norman Rockwell Exhibition - 2.7 km / 1.7 mi <br /> Sugar Shack - 2.7 km / 1.7 mi <br /> Arlington Green Covered Bridge - 6 km / 3.7 mi <br /> Mount Equinox - 7.5 km / 4.7 mi <br /> Lake Shaftsbury State Park - 9 km / 5.6 mi <br /> Shaftsbury Historical Society Museum - 12.9 km / 8 mi <br /> Equinox Preservation Trust - 14.1 km / 8.8 mi <br /> Golf Club at Equinox - 14.1 km / 8.8 mi <br /> Hildene - 14.5 km / 9 mi <br /> American Museum of Fly Fishing - 14.9 km / 9.2 mi <br /> Museum of Creative Process - 15 km / 9.3 mi <br /> Southern Vermont Arts Center - 15.5 km / 9.7 mi <br /> Manchester Designer Outlets - 16.2 km / 10.1 mi <br /> </p><p>The nearest airports are:<br />Albany Intl. Airport (ALB) - 86.5 km / 53.8 mi<br /> Glens Falls  NY (GFL-Floyd Bennett Memorial) - 70.3 km / 43.7 mi<br /> </p><p>The preferred airport for Arlington s West Mountain Inn is Albany Intl. Airport (ALB). </p>,144 River Road P.O.Box 40ArlingtonVermont 05250 ,05250,8023756516,http://www.westmountaininn.com/
Vermont,Arlington,43.11055,-73.12851,Arcady at the Sunderland Lodge,5.0,"Situated in Sunderland, 34 km from Bennington Battle Monument, Arcady Mountain Motor Lodge features accommodation with a garden, free private parking and a terrace. The property is around 35 km from Stratton Mountain, 13 km from Mount Equinox and 31 km from Bennington Battlefield Park. The hotel has an outdoor swimming pool and room service and free WiFi throughout the property.

At the hotel the rooms include air conditioning, a desk, a flat-screen TV, a private bathroom, bed linen, towels and a patio with a garden view. All rooms have a safety deposit box.

A Full English/Irish breakfast is available each morning at Arcady Mountain Motor Lodge.

Guests at the accommodation will be able to enjoy activities in and around Sunderland, like hiking and skiing.

Bennington College is 32 km from Arcady Mountain Motor Lodge, while Bennington Museum is 32 km from the property. The nearest airport is Rutland State Airport, 54 km from the hotel. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Sun terrace Private check-in/check-out parking on site Private parking wifi available in all areas Indoor play area secured parking Accessible parking Parking Pets allowed Room service Tennis Court Garden Terrace Non-smoking rooms Fishing Skiing Family rooms breakfast in the room Free parking internet services Soundproof rooms Canoeing Hiking Bowling Heating Horse riding wifi Outdoor pool Free WiFi Air conditioning designated smoking area sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Outdoor fireplace Swimming pool 24-hour security Key access Smoke alarms Fire extinguishers invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available,,6249 Vermont Route 7A 05250 Manchester-ArlingtonVermont ,05250,8023621176,https://www.booking.com/hotel/us/arcady-at-the-sunderland-lodge.html
Vermont,Arlington,43.109316,-73.120231,Hill Farm Inn,4.0,"<p>HeadLine : Near Sugar Shack</p><p>Location : Located in Arlington, Hill Farm by Sagra is in a rural location, a 1-minute drive from Mount Equinox and 8 minutes from Golf Club at Equinox.  This 4-star bed & breakfast is 5.1 mi (8.2 km) from Equinox Preservation Trust and 5.1 mi (8.3 km) from Hildene.</p><p>Rooms : Make yourself at home in one of the 11 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Bathrooms feature bathtubs or showers, hair dryers, and bathrobes. Conveniences include irons/ironing boards, as well as phones with free local calls.</p><p>Dining : At Hill Farm by Sagra, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. A complimentary full breakfast is served daily from 8:00 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:00 AM - 9:00 PM. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 9:00 PM please contact the property in advance using the information on the booking confirmation. Guests planning to arrive outside of normal check-in hours must contact the property in advance for check-in instructions and lockbox information. Front desk staff will greet guests on arrival.</p>",Free RV  bus  truck parking Free full breakfast Number of meeting rooms - 1 Limo or Town Car service available Free WiFi Downhill skiing nearby Number of bars/lounges - 1 Cross-country skiing nearby Designated smoking areas Number of spa tubs - 1 Number of outdoor pools - 1 In-room accessibility (in select rooms) Bicycle rentals nearby Wheelchair accessible parking Snowboarding Nearby Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Fireplace in lobby Sledding nearby Shopping center shuttle (surcharge) Snow Tubing Nearby Wheelchair-accessible on-site restaurant Free breakfast Snowmobiling Nearby Ski equipment rental shops nearby Handrails in stairways Ski lessons available nearby Daily Barbecue grill(s) Coffee/tea in common areas Fitness facilities Snowshoeing Nearby Mountain biking nearby Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Wheelchair-accessible van parking Meeting rooms Wheelchair-accessible registration desk Television in common areas Well-lit path to entrance Upper floors accessible by stairs only Garden Picnic area Wedding services Fishing on site Rock climbing nearby Luggage storage Express check-out Billiards or pool table Front desk (limited hours) Designated smoking areas (fines apply) Hiking/biking trails nearby Kayaking nearby Free self parking Wheelchair accessible path of travel Pool sun loungers Concierge services,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Battenkill River - 0.1 km / 0.1 mi <br /> Mount Equinox - 1.3 km / 0.8 mi <br /> Norman Rockwell Exhibition - 3.6 km / 2.2 mi <br /> Sugar Shack - 3.6 km / 2.3 mi <br /> Saint James Cemetery - 6.5 km / 4 mi <br /> Museum of Creative Process - 7.4 km / 4.6 mi <br /> Golf Club at Equinox - 8 km / 5 mi <br /> Equinox Preservation Trust - 8.2 km / 5.1 mi <br /> Hildene - 8.3 km / 5.1 mi <br /> American Museum of Fly Fishing - 8.7 km / 5.4 mi <br /> Southern Vermont Arts Center - 9.4 km / 5.8 mi <br /> Manchester Designer Outlets - 10 km / 6.2 mi <br /> Lye Brook Falls - 10.4 km / 6.4 mi <br /> Gander Gallery - 10.9 km / 6.8 mi <br /> Dana L. Thompson Memorial Park - 11.6 km / 7.2 mi <br /> </p><p>The nearest airports are:<br />Albany Intl. Airport (ALB) - 88.3 km / 54.9 mi<br /> Glens Falls  NY (GFL-Floyd Bennett Memorial) - 77.4 km / 48.1 mi<br /> Rutland  VT (RUT-Rutland Southern Vermont Regional) - 55.8 km / 34.7 mi<br /> </p><p></p>,458 Hill Farm Rd ArlingtonVermont 05250 ,05250,8023752269,http://www.hillfarminn.com/
Vermont,Arlington,43.08625,-73.14385,Candlelight Motel,2.0,"Nestled in the Green Mountain National Forest, this motel in Arlington, Vermont offers classically furnished rooms with free Wi-Fi and a cable TV.  It features a large outdoor pool.

A refrigerator and seating area are included in all rooms at the Candlelight Motel.  Each room is located on the ground floor and is easily accessed by an exterior corridor with a shared patio.

There is a large sun deck surrounding the outdoor pool for relaxation, and the lobby features a large stone fireplace.  A daily continental breakfast is provided to all guests.

The Motel Candlelight is just 5.5 miles from Hildene, the Lincoln Family Home, and Bromley Mountain Ski Resort is around a 20-minute drive away.  William H. Morse State Airport is 19.2 miles from this motel. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Upon check-in photo identification and credit card is required. All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.",Parking Pets allowed Non-smoking rooms Skiing Free parking internet services Heating wifi Free WiFi Air conditioning Sun terrace parking on site wifi available in all areas,,4893 Route 7A ArlingtonVermont 05250 ,05250,8023756647,https://www.booking.com/hotel/us/candlelight-motel.html
Vermont,Arlington,43.07479,-73.15359,The Arlington Inn,5.0,"Boasting a garden and a restaurant, Arlington Inn & Spa is located in Arlington. The property has a terrace, as well as a bar. The accommodation features free WiFi.

The units in the inn are equipped with a TV. The private bathroom is fitted with a shower, free toiletries and a hair dryer.

An American breakfast can be enjoyed at the property.

Manchester is 13 km from Arlington Inn & Spa. Albany International Airport is 86 km away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Arlington Inn & Spa in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",Parking meeting/banquet facilities Bar Tennis Court Golf course (within 3 km) Garden Terrace Non-smoking rooms Fishing Skiing Free parking internet services Canoeing Hiking Cycling Heating Horse riding Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning Sun terrace concierge service Special diet menus (on request) Daily housekeeping parking on site Private parking board games/puzzles kids' outdoor play equipment secured parking Street parking Wine/champagne Outdoor furniture Picnic area Outdoor fireplace Smoke alarms Fire extinguishers,,3904 Vt Route 7A ArlingtonVermont 05250 ,05250,4107897223,https://www.booking.com/hotel/us/the-arlington-inn.html
Vermont,Arlington,43.14972,-73.1973,Green River Inn,5.0,"Situated in Sandgate, Green River Inn has a shared lounge, garden, terrace, and free WiFi throughout the property. Private parking can be arranged at an extra charge.

A continental breakfast is available each morning at the inn.

Guests at Green River Inn will be able to enjoy activities in and around Sandgate, like hiking.

Manchester is 25 km from the accommodation. The nearest airport is Rutland State Airport, 47 km from Green River Inn. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",internet services wifi wifi available in all areas Daily housekeeping Air conditioning Non-smoking throughout Parking Garden Free parking Bridal suite Heating On-site parking Library shared lounge/TV area Private parking Free WiFi Hiking Non-smoking rooms Terrace,,3402 Sandgate Vt ArlingtonVermont 05250 ,05250,,https://www.booking.com/hotel/us/green-river-inn.html
Vermont,Arlington,43.10275,-73.2204,Inn On Covered Bridge Green,4.0,"Located along the Battenkill River, The Norman Rockwell Studio and Inn is set on a 5.5 acres land in Arlington, VT. The former home of Norman Rockwell features a fireplaces in all the rooms.

Certain units have a seating area where you can relax. WiFi is offered in the air conditioned accommodations. For your comfort, you will find free toiletries and a hairdryer.

A gourmet full country breakfast is served daily at a surcharge. A number of activities are offered in the area, such as fly fishing, canoeing, skiing and horse riding.You will find babysitting service at the property. There is a barbecue area and ski storage space available.

Bennington is 33.8 km away, while Manchester Shopping Center is 22.8 km away. Bromley Mountain is 40 km away and Stratton Mountain Resort is 46.3 km away from The Norman Rockwell Studio and Inn. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Free self parking Pets allowed Meeting rooms Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry facilities Facilities for disabled guests Skiing Family rooms Bridal suite Internet access Express check-in Massage Library Business services Hiking Cycling Heating Fax/photocopying Horse riding Luggage storage Free WiFi Ski storage Allergy-free room Free WiFi Non-smoking throughout Air conditioning Designated smoking areas Terrace Concierge services Private check-in/check-out Ski passes available Special diet menus (on request) Airport transportation (surcharge) Shared kitchen Daily housekeeping Parking onsite Private parking Games Children's books Street parking Wheelchair accessible Toilet with grab rails Higher level toilet,,3587 River Road ArlingtonVermont 05250 ,05250,8023759489,https://www.booking.com/hotel/us/inn-on-covered-bridge-green.html
Vermont,Ascutney,43.4097552741834,-72.4076914787292,Yankee Village Motel,2.0,"Property Location With a stay at Yankee Village Motel in Ascutney Ascutney - Brownsville, you''ll be close to Mt Ascutney State Park. This motel is within the vicinity of Cornish-Windsor Covered Bridge and American Precision Museum.Rooms Make yourself at home in one of the 20 air-conditioned rooms featuring refrigerators and microwaves. Bathrooms have showers and hair dryers. Housekeeping is provided daily, and both irons/ironing boards and rollaway/extra beds are available on request.Dining Take advantage of the motel''s room service during limited hours.Business, Other Amenities Free self parking is available onsite.",Free self parking Breakfast included Free Wireless Internet access,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Mt Ascutney State Park - 3.1 km / 1.9 mi &lt;br /&gt;Mount Ascutney - 5.4 km / 3.3 mi &lt;br /&gt;Holy Resurrection Orthodox Church - 6.5 km / 4 mi &lt;br /&gt;Claremont Opera House - 7 km / 4.3 mi &lt;br /&gt;Cornish-Windsor Covered Bridge - 7.3 km / 4.6 mi &lt;br /&gt;American Precision Museum - 7.4 km / 4.6 mi &lt;br /&gt;Cornish Colony Museum - 7.7 km / 4.8 mi &lt;br /&gt;South Congregational Church - 7.7 km / 4.8 mi &lt;br /&gt;Arrowhead Recreation Area - 7.9 km / 4.9 mi &lt;br /&gt;Old Constitution House - 8.4 km / 5.2 mi &lt;br /&gt;Saint-Gaudens National Historic Site - 10.5 km / 6.6 mi &lt;br /&gt;Path of Life Garden - 11.6 km / 7.2 mi &lt;br /&gt;Eureka Schoolhouse - 15.9 km / 9.9 mi &lt;br /&gt;Baltimore Covered Bridge - 15.9 km / 9.9 mi &lt;br /&gt;The Fort at No.4 Open Air Museum - 17.3 km / 10.7 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The nearest airports are:&lt;br /&gt;Lebanon  NH (LEB-Lebanon Municipal) - 25.2 km / 15.7 mi&lt;br /&gt;Rutland  VT (RUT-Rutland Southern Vermont Regional) - 45.4 km / 28.2 mi&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;/p&gt;,5380 Route 5 North AscutneyVermont 05030 ,05030,,http://www.trivago.com/ascutney-363826/hotel/yanke
Vermont,Barnard,43.724807074734,-72.589220206746,Twin Farms,,,,,452 Royalton Turnpike BarnardVermont 05031 ,05031,8022349999,http://www.twinfarms.com/
